emis_num,level,region,council,chfdom,school_name_and_town,phone,owner
129103248,Primary,East,kenema city council,91,BADRU DEEN ISLAMIC PRIMARY SAMAI TOWN KENEMA TOWN,88495429,mission
129103249,Primary,East,kenema city council,91,INTEGRATED COMMUNITY PRIMARY KPETEMA KPETEMA,076418897,community
129103250,Primary,East,kenema city council,91,NAMYA ISLAMIC PRIMARY KPAYAMA KENEMA KENEMA,076522774,mission
129103251,Primary,East,kenema city council,91,MADAM THERESA VIBBI III KPETEMA,016668880,community
129103252,Primary,East,kenema city council,91,LOGOS ACADEMY PRIMARY SCHOOL KPETEMA,076986544,mission
129103253,Primary,East,kenema city council,91,ISLAMIC WELFARE UNION PRIMARY KPETEMA KENEMA CITY 4,None,mission
129103254,Primary,East,kenema city council,91,ABDUL JALILI ISLAMIC PRIMARY SCHOOL FULAWAHUN,076897345,mission
129103255,Primary,East,kenema city council,91,AL-QUDUS ISLAMIC PRIMARY SCHOOL KPAYAMA KENEMA KPAYAMA,078756695,mission
129103301,JSS,East,kenema city council,91,COLLEGE SECONDARY JUNIOR COMBEMA KENEMA,78661443,community
129103302,JSS,East,kenema city council,91,EASTERN PRIVATE JUNIOR COMBEMA KENEMA,076884241,private
129103303,JSS,East,kenema city council,91,GOVERNMENT JUNIOR SECONDARY KENEMA,78542981,government
129103304,JSS,East,kenema city council,91,HOLY ROSARY JUNIOR SECONDARY KENEMA,76606610,mission
129103305,JSS,East,kenema city council,91,ISLAMIC JUNIOR SECONDARY KENEMA,076651234,mission
129103306,JSS,East,kenema city council,91,KAMBOI LEBANESE INTERNATIONAL JUNIOR KENEMA,076617936,private
129103307,JSS,East,kenema city council,91,MARY HAJJ JUNIOR SECONDARY KENEMA,78020890,private
129103308,JSS,East,kenema city council,91,UNITED MUSLIM ASSOCIATION SECONDARY KENEMA,76409732,mission
129103309,JSS,East,kenema city council,91,JOS MARIAM JUNIOR SECONDARY KENEMA KENEMA CITY,78489177,private
129103310,JSS,East,kenema city council,91,YOUNG MUSLIM JUNIOR SECONDARY SCHOOL KENEMA CITY 079915812/076 56,None,mission
129103311,JSS,East,kenema city council,91,SEYDI INTERNATIONAL BILINGUAL JUNIOR SECONDARY SCHOOL KENEMA KENEMA 076712361/030 06,None,private
129103312,JSS,East,kenema city council,91,EVERY NATION ACADEMY JUNIOR SECONDARY SCHOOL KENEMA KENEMA,076130840,mission
129103313,JSS,East,kenema city council,91,CITADEL INTERNATIONAL ACADEMY JSS KENEMA,076746468,private
129103401,SSS,East,kenema city council,91,EASTERN PRIVATE SSS SECONDARY COMBEMA HIGH WAY KENEMA,076884241,private
129103402,SSS,East,kenema city council,91,GOVERNMENT SENIOR SECONDARY KENEMA,76643612,government
129103403,SSS,East,kenema city council,91,ISLAMIC SECONDARY (SSS) KENEMA,76646522,community
129103405,SSS,East,kenema city council,91,EVERY NATION ACADEMY SENIOR SECONDARY SCHOOL KENEMA 078774252/078 07,None,mission
130101102,Preschool,East,kono district council,1,GOD IS OUR LIGHT PRE-SCHOOL NJABGWEMA,079031376,community
130101202,Primary,East,kono district council,1,UNITED METHODIST CHURCH PRIMARY SCHOOL BANDASUMA VILLAGE,78804513,mission
130101203,Primary,East,kono district council,1,BOMBORDU COMMUNITY PRIMARY SCHOOL BOMBORDU VILLAGE,None,community
130101204,Primary,East,kono district council,1,GBAKIOR COMMUNITY PRIMARY SCHOOL GBAKIOR VILLAGE,078425971,mission
130101205,Primary,East,kono district council,1,GBEMATAMBADU COMMUNITY SCHOOL GBEMATAMBA DU VILLAGE,30729430,mission
130101208,Primary,East,kono district council,1,UNITED METHODIST CHURCH PRIMARY NJAGBWEMA,78575391,government
130101209,Primary,East,kono district council,1,NJARDU COMMUNITY PRIMARY SCHOOL NJARDU VILLAGE,078847801,community
130101210,Primary,East,kono district council,1,TOMBU COMMUNITY PRIMARY SCHOOL TOMBU VILLAGE,88197656,community
130101211,Primary,East,kono district council,1,TONGOMA COMMUNITY PRIMARY SCHOOL TONGOMA VILLAGE,099327987,community
130101212,Primary,East,kono district council,1,KONO DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL TUIYOR VILLAGE,77949625,government
130101213,Primary,East,kono district council,1,AHMADIYYA MUSLIM PRIMARY SCHOOL VAAMA,78388463,private
130101214,Primary,East,kono district council,1,KONO DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL WAIMA VILLAGE,77330641,government
130101216,Primary,East,kono district council,1,UNITED METHODIST CHURCH PRIMARY SCHOOL YEKEYOR VILLAGE,88510202,mission
130101217,Primary,East,kono district council,1,ROMAN CATHOLIC PRIMARY SCHOOL YIGBEDA VILLAGE,30323367,mission
130101218,Primary,East,kono district council,1,ROMAN CATHOLIC PRIMARY SCHOOL WONEMA MEIYOR,077784117,mission
130101219,Primary,East,kono district council,1,COMMUNITY SCHOOL MARKOR MARKOR,None,community
130101220,Primary,East,kono district council,1,GOD IS OUR LIGHT PRIMARY SCHOOL NJAGBUIEMA,030641124,community
130101221,Primary,East,kono district council,1,GBETEMA COMMUNITY SCHOOL GBETEMA,088843130,community
130101222,Primary,East,kono district council,1,TAAMA COMMUNITY SCHOOL,077978032,community
130101301,JSS,East,kono district council,1,SONGU MBRIWA SEC SCHOOL NJAGBWEMA TOWN,77950733,mission
130201101,Preschool,East,kono district council,2,ROMAN CATHOLIC PRE-SCHOOL GANDORHUN,077471964,mission
130201103,Preschool,East,kono district council,2,KDEC PRE SCHOOL 2,088718659,government
130201104,Preschool,East,kono district council,2,ANSANAL PRE-PRIMARY SCHOOL GANDORHUN,None,mission
130201201,Primary,East,kono district council,2,UNITED METHODIST CHURCH NJAIFIDU,None,mission
130201203,Primary,East,kono district council,2,UNITED METHODIST CHURCH PRIMARY SCHOOL PEIDU,None,mission
130201204,Primary,East,kono district council,2,KONO DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOKL MONGOR,088718659,government
130201209,Primary,East,kono district council,2,UNITED METHODIST CHURCH PRIMARY SCHOOL GBENDEMA,077349949,private
130201210,Primary,East,kono district council,2,ANSARUL ISLAMIC PRIMARY SCHOOL FOINDU,088325762,mission
130201211,Primary,East,kono district council,2,U M C PRIMARY SCHOOL GBAIDU,030109981,mission
130201212,Primary,East,kono district council,2,UNITED METHODIST CHURCH PRIMARY SCHOOL BOIADU,30195877,community
130201213,Primary,East,kono district council,2,ROMAN CATHOLIC PRIMARY SCHOOL GANDOR,077582710,mission
130202101,Preschool,East,kono district council,2,UNITED METHODIST CHURCH PRE SCHOOL GANDORHUN,79482638,mission
130202201,Primary,East,kono district council,2,GOD IS OUR LIGHT PRIMARY SCHOOL BANDAMA,76832154,mission
130202203,Primary,East,kono district council,2,ROMAN CATHOLIC PRIMARY SCHOOL BONDAY,30750276,mission
130202204,Primary,East,kono district council,2,ANSARUL ISLAMIC PRIMARY SCHOOL GANDORHUN,30462696,mission
130202205,Primary,East,kono district council,2,UNITED METHODIST CHURCH PRIMARY SCHOOL GANDORHUN,88740771,mission
130202206,Primary,East,kono district council,2,ROMAN CATHOLIC PRIMARY SCHOOL KANEKOR,099089764,government
130202207,Primary,East,kono district council,2,UNITED METHODIST CHURCH PRIMARY SCHOOL KANGAHUN,76537662,mission
130202208,Primary,East,kono district council,2,UNITED METHODIST CHURCH PRIMARY SCHOOL KOIDU BUMA,088564231,mission
130202209,Primary,East,kono district council,2,COMMUNITY PRIMARY SCHOOL KOMBOYA,30223539,community
130202210,Primary,East,kono district council,2,KONO DISTRICT EDUCATION COMMITTEE SCHOOL KORANKOR,79961455,government
130202211,Primary,East,kono district council,2,SEVENTH DAY ADVENTIST PRIMARY SCHOOL LEVUMA,088201465,mission
130202212,Primary,East,kono district council,2,KANKALAY COMMUNITY PRIMARY SCHOOL NGEIHUN,099515768,community
130202213,Primary,East,kono district council,2,EVANGELICAL MODEL PRIMARY SCHOOL PAPUIMA,88855202,mission
130202214,Primary,East,kono district council,2,UNITED METHODIST CHURCH PRIMARY SCHOOL SAWOLLA,77250203,mission
130202215,Primary,East,kono district council,2,SEVENTH DAY ADVENTIST PRIMARY SCHOOL SUNGA,099527593,mission
130202216,Primary,East,kono district council,2,SEVENTH DAY ADVENTIST PRIMARY SCHOOL TEKUYAMA,77516260,mission
130202217,Primary,East,kono district council,2,UNITED METHODIST CHURCH PRIMARY SCHOOL WUGBADU,088056738,mission
130202301,JSS,East,kono district council,2,GBANE AGRICULTURAL AND VOCATIONAL SEC SCHOOL GANDORHUN,79936789,government
130202302,JSS,East,kono district council,2,KANEKOR SEC.SCHOOL KANEKOR,088437311,community
130301201,Primary,East,kono district council,3,ROMAN CATHOLIC PRIMARY SCH. KOARDU,088319941,government
130301202,Primary,East,kono district council,3,SANSIE KWIGBA MEM. PRI. SCH. NONGOWA,079240012,community
130301203,Primary,East,kono district council,3,KANKAYLAY ISLAMIC PRI. SCH. KOARDU,030857953,community
130301302,JSS,East,kono district council,3,MELIFEH JUNIOR SECONDRY SCHOOL KUNTEH KUNTEH,076870011,community
130303201,Primary,East,kono district council,3,EVANGELICAL MODEL PRIMARY SCHOOL GBAMANDU FAO,076933027,mission
130303202,Primary,East,kono district council,3,ROMAN CATHOLIC PRIMARY SCHOOL GBENDEMA,088389980,mission
130303203,Primary,East,kono district council,3,ROMAN CATHOLIC PRIMARY SCHOOL KUNTEH,079687956,mission
130303204,Primary,East,kono district council,3,ROMAN CATHOLIC PRIMARY SCHOOL SINDADU,076166638,mission
130401101,Preschool,East,kono district council,4,PENTECOSTAL GOSPEL HARMONY PRE-PRIMARY SCHOOL KOIDU CITY,030355273,mission
130401102,Preschool,East,kono district council,4,LOGOS EXPERIMENTAL PRE-SCHOOL KOIDU,077230270,community
130401104,Preschool,East,kono district council,4,SIERRA LEONE MUSLIM BROTHERHOOD OLD SEFADU,076985272,mission
130401105,Preschool,East,kono district council,4,EVANGELICAL INTERNATIONAL PRE-SCHOOL PENDUMA BARRACKS 030437551/079 67,None,community
130401106,Preschool,East,kono district council,4,ISLAMIC DAHAWA PRE-PRIMARY SCHOOL GBEKOR,077531575,community
130401107,Preschool,East,kono district council,4,KING JAMES INTERNATIONAL PRE SCHOOL,077331025,community
130401108,Preschool,East,kono district council,4,SHALOM ACDEMY PRE-SCHOOL,077851779,community
130401109,Preschool,East,kono district council,4,FREEGRACE ACADEMY BOROMA,030439042,mission
130401110,Preschool,East,kono district council,4,STEPING STONE EDUCATIONAL ACADEMY,099682565,community
130401201,Primary,East,kono district council,4,UNITED METHODIST CHURCH PRIMARY SCHOOLPENDUMA PENDUMA,030263345,mission
130401202,Primary,East,kono district council,4,KONO DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL YARDU,88684134,government
130401203,Primary,East,kono district council,4,KOIDU CHILDREN'S ACADEMY PRIMARY SCHOOOL JERICHO KOIDU CITY JERICHO,077219168,community
130401204,Primary,East,kono district council,4,KING JAMES INTERNATIONAL PRIMARY SCHOOL,077331025,community
130401205,Primary,East,kono district council,4,SHALON ACADEMY PRIMARY SCHOOL,077851779,community
130401207,Primary,East,kono district council,4,GRACE OF GOD COMMUNITY PRIMARY SCHOOL KISSI TOWN,077993676,mission
130401208,Primary,East,kono district council,4,FREEGRACE ACADEMY PRIMARY SCHOOL BOROMA,078039896,mission
130401209,Primary,East,kono district council,4,CENTRAL PRIMARAY SCHOOL SINNAH TOWN,076411707,community
130401210,Primary,East,kono district council,4,MUKTON ISLAMIC PRIMARY SCHOOL,077042615,mission
130401211,Primary,East,kono district council,4,NEW LIFE CHRISTIAN PRE-PRIMARY SCHOOL,077865582,private
130401301,JSS,East,kono district council,4,CHRIST OUR SHEPERD SECONDARY SCHOOL KAMADU,079530105,private
130401302,JSS,East,kono district council,4,KOIDU CHILDREN'S ACADEMY SECONDARY SCHOOL KOIDU CITY,077845481,community
130401303,JSS,East,kono district council,4,ISLAMIC DAHAWA JUNIOR SECONDARY SCHOOL,077771507,mission
130401304,JSS,East,kono district council,4,ELIZABETHAN JUNIOR HIGH SCHOOL KOIDU TOWN,076603402,community
130401305,JSS,East,kono district council,4,DAYS INTERNATIONAL JUNIOR SECONDARY SCHOOL KOIDU,07766172,community
130401306,JSS,East,kono district council,4,EVANGELICAL INTERNATIONAL JUNIOR SECONDARY SCHOOL PENDUMA BARRACKS,079547189,community
130401307,JSS,East,kono district council,4,IAM TECH SECONDARY SCHOOL KOIDU,076682000,community
130401401,SSS,East,kono district council,4,PROWA SENIOR SEC SCH,None,private
130401402,SSS,East,kono district council,4,UNIVERSE SEIOR SECONDARY,079114968,private
130402103,Preschool,East,kono district council,4,KABASSAY PRE SCHOOL KOIDU,078-689428,private
130402104,Preschool,East,kono district council,4,HOLY GHOST ROYAL ACADEMY PRE-SCHOOL SMALL SEFADU 077-,248789/077-,community
130402105,Preschool,East,kono district council,4,HOLY GHOST ROYAL ACADEMY BENDU,077-870605,mission
130402106,Preschool,East,kono district council,4,ARSANAL PRESCHOOL GANDORHUN,030462696,community
130402107,Preschool,East,kono district council,4,CHRIST OF KING PRE SCHOOL KAMADU,077416366,community
130402108,Preschool,East,kono district council,4,EASTEN MORAL ACADEMY PRE SCHOOL HILL STATION KOIDU CITY,030380809,community
130402109,Preschool,East,kono district council,4,KAMADU PRE SCHOOL MOINDEFEH,088728301,community
130402201,Primary,East,kono district council,4,AL-HALIM ISLAMIC PRIMARY SCHOOL BOROMA,030585553,community
130402202,Primary,East,kono district council,4,KONO DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL CHENEDU,76535286,government
130402203,Primary,East,kono district council,4,ASSEMBLIES OF GOD CHURCH PRIMARY DANDADOR,30224673,community
130402204,Primary,East,kono district council,4,KONO DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL KOAKOR,030502085,government
130402206,Primary,East,kono district council,4,EVANGELICAL MODEL PRIMARY SCHOOL KWIDADU KWIDADU,088378359,mission
130402207,Primary,East,kono district council,4,WAIDU COMMUNITY PRIMARY WAIDU,088-708588,community
130402209,Primary,East,kono district council,4,GBANGADU COMMUNITY PRIMARY GNANGARU,076-319474,community
130402210,Primary,East,kono district council,4,HOLY GHOST ROYAL ACADEMY BENDU,077870605,mission
130402211,Primary,East,kono district council,4,ACEDO PRIMARY BAWADU,099335252,community
130402213,Primary,East,kono district council,4,KAGBASSAY MEMORIAL PRIMARY KOIDU 088- 524971//078,None,private
130402214,Primary,East,kono district council,4,EASTER MORAL ACADEMY PRIMARY SCHOOL KOIDU CITY,078089993,community
130402215,Primary,East,kono district council,4,SUCCESS PRIMARY SCHOOL KOEYOR,030478677,community
130402216,Primary,East,kono district council,4,EVANGELICAL INTERNATIONAL PRIMARY PENDUMA BARRACKS,030437551,community
130402217,Primary,East,kono district council,4,CALVARY REDEMPTION COMMUNITY PRIMARY SCHOOL SOFIDU,077671773,community
130402218,Primary,East,kono district council,4,AFRICAN CHILDREN UNIVER ACADEMY KOIDU CITY,099682565,community
130402220,Primary,East,kono district council,4,PENTICOSTAL GOSPEL HARMONY (PGH) PRIMARY KOIDU CITY 030-,355273/078-,mission
130402222,Primary,East,kono district council,4,SOGBEH ACCELERATED CONCERN SCHOOL,099101423,community
130402224,Primary,East,kono district council,4,ABIES INTERNATIONAL ACADEMY MOINDEKOR,076809014,community
130402225,Primary,East,kono district council,4,ROMAN'S INTERNATIONAL ACADEMY,088954199,private
130402226,Primary,East,kono district council,4,STEPPING STONE EDUCATIONAL ACADEMY PRIMARY SCHOOL KOIDU CITY,099682565,community
130402301,JSS,East,kono district council,4,MARTIN LUTHER JUNIOR SECONDARY SCHOOL KAOKOR,099802648,community
130402302,JSS,East,kono district council,4,EASTERN MORAL ACADEMY SECONDARY SCHOOL KOIDU,076523363,community
130402304,JSS,East,kono district council,4,FAWE COMMUNITY SECONDARY SCHOOL KPETEMA KOIDU CITY 076-,315992/077-,community
130402401,SSS,East,kono district council,4,EASTERN MORAL ACCADEMY SENIOR SECONDARY SCHOOL KOIDU,077589042,community
130402402,SSS,East,kono district council,4,IAM TECH SECONDARY SCHOOL KOIDU,076682000,community
130402403,SSS,East,kono district council,4,IAMTECH SECONDARY SCHOOL,076682000,community
130408201,Primary,East,kono district council,4,ROMAN INTERNATIONAL ACADEMY,088954199,private
130408301,JSS,East,kono district council,4,GBENSE JUNIOR SEC. SCHOOL KOIDU,0774525150,community
130501101,Preschool,East,kono district council,5,UNITED METHODIS CHURCH PRE PRIMARY SCHOOL KANBAMA,76653632,mission
130501102,Preschool,East,kono district council,5,EVANGELICAL MODEL PRE PRIMARY SCHOOL PELEWAHUN PELEWAHUN,030202845,mission
130501103,Preschool,East,kono district council,5,COMMUNITY PRE PRIMARY SCHOOL TARKPOMBU,076-557342,community
130501104,Preschool,East,kono district council,5,RC KANGAMA PRE PRIMARY SCHOOL KANGAMA,076837119,mission
130501105,Preschool,East,kono district council,5,MOIMANDU COMMUNITY PRE SCHOOL,076233340,community
130501106,Preschool,East,kono district council,5,UNITED METHODIST PRE SCHOOL BUNABU,None,mission
130501201,Primary,East,kono district council,5,UNITED METHODIST CHURCH BUNABU BONABU,099584279,mission
130501202,Primary,East,kono district council,5,KONO DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL FOINDU,077532726,government
130501203,Primary,East,kono district council,5,ISLAMIS PRIMARY SCHOOL KANGAMA,079828915,mission
130501204,Primary,East,kono district council,5,ROMAN CATHOLIC PRIMARY SCHOOL KANGAMA,030358090,mission
130501205,Primary,East,kono district council,5,UNITED METHODIST CHURCH PRIMARY SCHOOL KANGAMA,088438629,mission
130501206,Primary,East,kono district council,5,EVANGELICAL MODEL PRIMARY SCHOOL MASONDO,030499831,mission
130501207,Primary,East,kono district council,5,KONO DISTRICT EDUCATION COMMITTEE MATHAMA,099930262,government
130501208,Primary,East,kono district council,5,ROMAN CATHOLIC PRIMARY SCHOOL MOIMANDU MOIMANDU,099858747,mission
130501209,Primary,East,kono district council,5,UNITED METHODIST CHURCH PRIMARY SCHOOL NIAGBEEMA,030534863,mission
130501210,Primary,East,kono district council,5,EVANGELICAL MODEL PRIMARY SCHOOL SENEHUN SENEHUN,088742517,mission
130501211,Primary,East,kono district council,5,UNITED METHODIST CHURCH PRIMARY SCHOOL TIKONKO TINKONKO,76893162,mission
130501212,Primary,East,kono district council,5,EVANGELICAL MODEL PRIMARY SCHOOL. VAAMA VAAMA,None,mission
130501213,Primary,East,kono district council,5,ST MARY'S SCHOOL SENGEMA,099-624122,mission
130501301,JSS,East,kono district council,5,GORAMA SEC SCHOOL KANGAMA,76128090,community
130508401,SSS,East,kono district council,5,GBENSE SENIOR SECONDARY SCHOOL KOIDU CITY,77344895,private
130601101,Preschool,East,kono district council,6,LUTHERAN PRE SCHOOL TOMBODU,079030684,mission
130601102,Preschool,East,kono district council,6,UNITED METHODIST PRE-SCHOOL PEYIMA,077744936,mission
130601201,Primary,East,kono district council,6,FORUM OF AFRICAN WOMAN EDUCATIONIST PRIMARY SCHOOL GBANDU,078562603,community
130601202,Primary,East,kono district council,6,UNITED METHODIST CHURCH PRIMARY SCHOOL KAMADU,76807996,mission
130601203,Primary,East,kono district council,6,UNITED METHODIST CHURCH PRIMARY SCHOOL KOMAO,076604396,mission
130601204,Primary,East,kono district council,6,UNITED METHODIST CHURCH PRIMARY SCHOOL MAIMA 1,079626390,mission
130601205,Primary,East,kono district council,6,UNITED METHODIST CHURCH PRIMARY SCHOOL MOINDEMA,078453505,mission
130601206,Primary,East,kono district council,6,KONO DISTRICT EDUCATION COMMITTEE SCHOOL NEMESSEDU,79957910,government
130601207,Primary,East,kono district council,6,ANSARUL ISLAMIC PRIMARY SCHOOL PEYIMA,077008913,mission
130601208,Primary,East,kono district council,6,UNITED METHODIST CHURCH PRIMARY SCHOOL PEYIMA,76282874,mission
130601209,Primary,East,kono district council,6,UNITED METHODIST CHURCH SCHOOL SAMEIQUIDU,079365420,mission
130601210,Primary,East,kono district council,6,UNITED METHODIST CHURCH PRIMARY SCHOOL SUKUDU,078311256,mission
130601211,Primary,East,kono district council,6,UNITED METHODIST CHURCH PRIMARY SCHOOL TESSEYIMA,099588392,mission
130601212,Primary,East,kono district council,6,LUTHERAN PRIMARY SCHOOL TOMBODU,30084079,mission
130601213,Primary,East,kono district council,6,ROMAN CATHOLIC PRIMARY SCHOOL TOMBODU,77589243,mission
130601214,Primary,East,kono district council,6,UNITED METHODIST CHURSH PRIMARY SCHOOL TOMBODU,079353616,mission
130601215,Primary,East,kono district council,6,ANSARUL ISLAMIC PRIMARY SCHOOL TOMBODU,076449894,mission
130601216,Primary,East,kono district council,6,SIMADA/ PROWA PRIMARY SCHOOL WORDU,76605635,community
130601217,Primary,East,kono district council,6,LUTHERAN PRI. SCH. DANGBAIDU,079934810,mission
130601218,Primary,East,kono district council,6,KONO DIST. EDU. COMMITTEE DAIYOH,077465739,government
130601219,Primary,East,kono district council,6,LOGOS EXPERIMENTAL PRI. SCH. NUMBER ELEVEN (11),088443965,mission
130601221,Primary,East,kono district council,6,U M C PRI SCH TOMBODU DENDU,079353616,mission
130601301,JSS,East,kono district council,6,UNITED METHODIST SEC SCHOOL TAMBODU,088980173,community
130601302,JSS,East,kono district council,6,AHMADIYYA NUSSAL JAHAN SEC. SCHOOL TOMBODU,076897630,mission
130601303,JSS,East,kono district council,6,PEYIMA AGRICULTURAL JUNIOR SEC. SCH. PEYIMA,079267602,community
130601401,SSS,East,kono district council,6,AHMADIYYA NUSRAT JAHN SECONDARY SCHOOL TOMBODU,076897630,mission
130702102,Preschool,East,kono district council,7,SUCCESS PRE-PRIMARY SCHOOL KOMBAYENDEH,78596120,community
130702201,Primary,East,kono district council,7,ANSARUL PRIMARY SCHOOL BANDADU BANDADU,78173243,mission
130702202,Primary,East,kono district council,7,ROMAN CATHOLIC PRIMARY SCHOOL BOROMA BOROMA,76566593,mission
130702203,Primary,East,kono district council,7,BUDUYA COMMUNITY PRIMARY SCHOOL BUNDUYA,78175177,community
130702204,Primary,East,kono district council,7,FAAND COMMUNITY PRIMARY SCHOOL FAANDA,088938402,community
130702206,Primary,East,kono district council,7,EVANGELICAL MODEL PRIMARY SCHOOL GBOGBORMA,77950442,mission
130702207,Primary,East,kono district council,7,ROMAN CATHOLIC PRIIMARY SCHOOL GBONGONGOR,30299984,mission
130702208,Primary,East,kono district council,7,KALIA COMMINITY PRIMARY SCHOOL KALIA,None,community
130702209,Primary,East,kono district council,7,ROMAN CATHOLIC PRIMARY SCHOOL KENEMA KENEMA,76238537,mission
130702210,Primary,East,kono district council,7,EVANGELICAL PRIMARY SCHOOL KENEWA,77770849,mission
130702211,Primary,East,kono district council,7,ASSEMBLY OF GOG PRIMARY SCHOOL KISSY TOWN,79378369,mission
130702212,Primary,East,kono district council,7,ROMAN CATHOLIC PRIMARY SCHOOL KOMBAYENDEH,76165452,mission
130702213,Primary,East,kono district council,7,KONGOIFEH COMMUNITY PRIMARY SCHOOL KONGOIFEH,88593617,community
130702215,Primary,East,kono district council,7,ROMAN CATHOLIC PRIMARY SCHOOL KUNUNDU,77162189,mission
130702216,Primary,East,kono district council,7,KWEMA COMMUNITY PRIMARY SCHOOL KWEMA,79529136,community
130702217,Primary,East,kono district council,7,MASAKONDU COMMUNITY PRIMARY SCHOOL MASAKONDU,None,community
130702218,Primary,East,kono district council,7,ROMAN CATHOLIC PRIMARY SCHOOL SAIAMA,76541930,mission
130702219,Primary,East,kono district council,7,ROMAN CATHOLIC PRIMARY SCHOOL SENEHUN,78020455,mission
130702220,Primary,East,kono district council,7,SAME COMMUNITY PRIMARY SCHOOL SOMA,78852844,mission
130702221,Primary,East,kono district council,7,EVANGELICAL MODEL PRIMARY SCHOOL TAIBOR,30516089,mission
130702223,Primary,East,kono district council,7,TORWAH COMMUNITY PRIMARY SCHOOL TORWAH,79977179,community
130702224,Primary,East,kono district council,7,ROMAN CATHOLIC PRIMARY SCHOOL TUMBEIDU,76777647,mission
130702225,Primary,East,kono district council,7,ROMAN CATHOLIC PRIMARY SCHOOL YALAMBA,76344388,mission
130702226,Primary,East,kono district council,7,ROMAN CATHOLIC PRIMARY SCHOOL YARMADU,78771689,mission
130702227,Primary,East,kono district council,7,ROMAN CATHOLIC PRIMARY SCHOL YENGEMA,76851144,mission
130702228,Primary,East,kono district council,7,ROMAN CATHOLIC PRIMARY SCHOOL YIEMA YIEMA,76597543,mission
130702229,Primary,East,kono district council,7,ANSARU PRIMARY SCHOOL KOMBAYENDEH,076683724,mission
130702232,Primary,East,kono district council,7,SUCCESS PRIMARY SCHOOL KOMBA YENDEH,078-719419,community
130702301,JSS,East,kono district council,7,LEI AGRICULTURAL AND VOCATIONAL SCHOOL KOMBAYENDEH,76523222,community
130702302,JSS,East,kono district council,7,TANYOR JUNIOR SECONDARY SCHOOL SAIMA,078739710,community
130702401,SSS,East,kono district council,7,LEI AGRICULTURAL AND VOCATIONAL SENIOR SECONDARY SCHOOL 076-523222/ 077,None,community
130801201,Primary,East,kono district council,8,ROMAN CATHOLIC PRIMARY SCHOOL BONGEMA,30179348,community
130801202,Primary,East,kono district council,8,ROMAN CATHOLIC PRIMARY SCHOOL DENGEDU,077264277,government
130801203,Primary,East,kono district council,8,ROMAN CATHOLIC PRIMARY SCHOOL DENSAMBADU,78536691,mission
130801204,Primary,East,kono district council,8,ROMAN CATHOLIC PRIMARY SCHOOL KAMEINDOR,099273697,mission
130801205,Primary,East,kono district council,8,ROMAN CATHOLIC PRIMARY SCHOOL KARDU,88922055,mission
130801207,Primary,East,kono district council,8,ROMAN CATHOLIC PRIMARY YARDU,077722502,mission
130801208,Primary,East,kono district council,8,ROMAN CATHOLIC PRIMARY SCHOOL YORMADU,079886493,mission
130901101,Preschool,East,kono district council,9,GRACELAND COUNSELLING COMMUNITY PRE- SCHOOL NGAIYA,79772644,community
130901102,Preschool,East,kono district council,9,UNITED PENTECOSTAL PRE PRIMARY SCHOOL NGAYA,30395404,mission
130901103,Preschool,East,kono district council,9,ST JOSEPH PRE SCHOOL YEMGEMA,76703211,mission
130901104,Preschool,East,kono district council,9,DORA NURSERY PREPARATORY SCHOOL,088377007,mission
130901201,Primary,East,kono district council,9,GOD IS OUR LIGHT PRIMARY SCHOOL BANDAFADA BANDAFADA,78090877,mission
130901203,Primary,East,kono district council,9,ROMAN CATHOLIC PRIMARY SCHOOL KPAKIOR KPAKIOR,76804685,mission
130901204,Primary,East,kono district council,9,AHMADIYYA MUSLIM PRIMARY SCHOOL MOTEMA,76555442,mission
130901205,Primary,East,kono district council,9,ROMAN CATHOLIC PRIMARY SCHOOL MOTEMA MOTEMA,078511159,mission
130901206,Primary,East,kono district council,9,UNITED METHODIST PRIMARY SCHOOL MOTEMA MOTEMA,076413907,mission
130901207,Primary,East,kono district council,9,GRACELAND COUNSELLING SERVICE COMMUNITY PRIMARY SCHOOL NGAIYA,79772644,community
130901208,Primary,East,kono district council,9,UNITEED PENTICOSTAL PRE PRIMARY SCHOOL NGAIYA,030395404,private
130901209,Primary,East,kono district council,9,ANSARUL ISLAMIC SCHOOL SIMBAKORO SIMBAKORO,88451469,mission
130901210,Primary,East,kono district council,9,UNITED METHODIST PRIMARY SCHOOL SIMBAKORO SIMBAKORO,077901860,mission
130901211,Primary,East,kono district council,9,UNITED METHODIST CHURCH BOYS PRIMARY SCHOOL YENGEMA,76228350,community
130901213,Primary,East,kono district council,9,PAKISTAN SALONE ISLAMIC PRIMARY SCHOOL YENGEMA,76895971,mission
130901215,Primary,East,kono district council,9,ROMAN CATHILIC BOYS PRIMARY SCHOOL YENGEMA YENGEMA,076759120,mission
130901218,Primary,East,kono district council,9,UNITED METHODIST CHURCH GIRLS PRIMARY SCHOOL YENGEMA,076810652,mission
130901301,JSS,East,kono district council,9,CHRISTIAN LEADERSHIP COLLEGE JUNIOR SEC. SCHOOL BANDAFADA,77586972,community
